lon_min,lat_min,lon_max,lat_max,value,geometry,_merge
30.25,-13.0,30.5,-12.75,12.839999828195689,,left_only
30.5,-13.0,30.75,-12.75,11.47333084281263,,left_only
30.75,-13.0,31.0,-12.75,10.35502290814236,,left_only
32.75,-13.0,33.0,-12.75,21.613366310775746,,left_only
33.0,-13.0,33.25,-12.75,13.30474427465299,,left_only
33.25,-13.0,33.5,-12.75,99.36824837789152,,left_only
33.5,-13.0,33.75,-12.75,123.93178726187593,,left_only
33.75,-13.0,34.0,-12.75,71.58839565965434,,left_only
34.0,-13.0,34.25,-12.75,51.65171632594968,,left_only
34.25,-13.0,34.5,-12.75,31.890095024741868,,left_only
34.75,-13.0,35.0,-12.75,11.70996148347308,,left_only
35.0,-13.0,35.25,-12.75,14.04999609241463,,left_only
35.25,-13.0,35.5,-12.75,17.098328459509162,,left_only
38.75,-13.0,39.0,-12.75,26.51830621662714,,left_only
39.0,-13.0,39.25,-12.75,18.22337562827147,,left_only
39.25,-13.0,39.5,-12.75,12.689982008311972,,left_only
39.5,-13.0,39.75,-12.75,18.52166320990716,,left_only
39.75,-13.0,40.0,-12.75,16.87834984336962,,left_only
40.25,-13.0,40.5,-12.75,34.23160992206033,,left_only
40.5,-13.0,40.75,-12.75,43.1050676936012,,left_only
15.75,-12.75,16.0,-12.5,64.76167609137963,,left_only
16.0,-12.75,16.25,-12.5,29.428325926358298,,left_only
16.25,-12.75,16.5,-12.5,40.981713792798814,,left_only
16.5,-12.75,16.75,-12.5,23.30669054104783,,left_only
16.75,-12.75,17.0,-12.5,65.24020061352348,,left_only
17.0,-12.75,17.25,-12.5,32.20014255906972,,left_only
25.75,-12.75,26.0,-12.5,13.47500933945264,,left_only
27.5,-12.75,27.75,-12.5,25.6814947160882,,left_only
27.75,-12.75,28.0,-12.5,118.7334813888574,,left_only
28.0,-12.75,28.25,-12.5,136.29164315656735,,left_only
28.25,-12.75,28.5,-12.5,124.3817668649275,,left_only
28.5,-12.75,28.75,-12.5,50.71494836432555,,left_only
28.75,-12.75,29.0,-12.5,10.900062605342557,,left_only
32.75,-12.75,33.0,-12.5,27.67335952643089,,left_only
33.0,-12.75,33.25,-12.5,39.1497648214488,,left_only
33.25,-12.75,33.5,-12.5,94.1749589283653,,left_only
33.5,-12.75,33.75,-12.5,108.77177231875169,,left_only
33.75,-12.75,34.0,-12.5,61.17838548313705,,left_only
34.0,-12.75,34.25,-12.5,42.91505090454336,,left_only
34.25,-12.75,34.5,-12.5,17.621670166056333,,left_only
